inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,1,2,10,2,0.0,2,0.0
1,1,2,10,4,0.0,1,0.0
2,0,0,-10,0,0.0,4,0.0
2,0,0,-10,1,0.0,1,0.0
2,0,0,-10,3,0.0,1,0.0
2,0,0,-9,0,0.0,7,0.0
2,0,0,-9,1,0.0,2,0.0
2,0,0,-9,2,0.0,1,0.0
2,0,0,-9,6,0.0,1,0.0
2,0,0,-8,0,0.0,7,0.0
2,0,0,-8,1,0.0,3,0.0
2,0,0,-7,0,0.0,22,0.0
2,0,0,-7,1,0.0,4,0.0
2,0,0,-7,6,0.01746893,1,0.47667685
2,0,0,-6,0,0.005965991,46,0.16279474
2,0,0,-6,1,0.0036650659,10,0.10000911
2,0,0,-6,3,0.0010275841,1,0.028039815
2,0,0,-5,0,0.043102153,139,1.1761339
2,0,0,-5,1,0.027772533,23,0.7578326
2,0,0,-5,2,0.06530296,12,1.7819301
2,0,0,-5,3,0.037765533,6,1.0305128
2,0,0,-5,5,0.010288835,1,0.28075272
2,0,0,-5,6,0.0038330555,1,0.10459307
2,0,0,-5,7,0.006455779,2,0.17615965
2,0,0,-4,0,0.047961432,326,1.3087296
2,0,0,-4,1,0.04943092,85,1.3488277
2,0,0,-4,2,0.03515373,23,0.95924425
2,0,0,-4,3,0.057967108,14,1.5817558
2,0,0,-4,4,0.07237077,1,1.9747902
2,0,0,-4,5,0.039271455,6,1.0716051
